_id,createdAt,experimentType,id,ratedArtworkId,rating,sourceArtworkId,updatedAt,userId
5d6d2ffc96c99f0008942167,2019-09-02 15:06:36.784,encode,1.0635387787276668e+24,7066,Agree,7066,2019-09-02 15:06:36.784,106353877872766676678
5d6d324d96c99f0008942168,2019-09-02 15:16:29.666,encode,1.0635387787276668e+24,30499,Agree,7066,2019-09-02 15:16:29.666,106353877872766676678
5d6d326596c99f000894216a,2019-09-02 15:16:53.417,encode,1.0635387787276668e+24,14825,Agree,7066,2019-09-02 15:16:53.417,106353877872766676678
5d6d558396c99f000894216b,2019-09-02 17:46:43.374,encode,1.0711229704515415e+24,7066,Agree,7066,2019-09-02 17:46:43.374,107112297045154154350
5d6d559396c99f000894216c,2019-09-02 17:46:59.130,encode,1.0711229704515415e+24,30499,Agree,7066,2019-09-02 17:46:59.130,107112297045154154350
5d6d55a196c99f000894216d,2019-09-02 17:47:13.951,encode,1.0711229704515415e+24,26355,Disagree,7066,2019-09-02 17:47:13.951,107112297045154154350
5d6d55be96c99f000894216e,2019-09-02 17:47:42.613,encode,1.0711229704515415e+24,14825,Agree,7066,2019-09-02 17:47:42.613,107112297045154154350
5d6d55d196c99f000894216f,2019-09-02 17:48:01.904,encode,1.0711229704515415e+24,27334,Agree,7066,2019-09-02 17:48:01.904,107112297045154154350
5d6d563196c99f0008942170,2019-09-02 17:49:37.898,encode,1.0711229704515415e+24,12356,Agree,7066,2019-09-02 17:49:37.898,107112297045154154350
5d6d563f96c99f0008942171,2019-09-02 17:49:51.625,encode,1.0711229704515415e+24,29599,Disagree,7066,2019-09-02 17:49:51.625,107112297045154154350
5d6d564796c99f0008942172,2019-09-02 17:49:59.599,encode,1.0711229704515415e+24,18045,Agree,7066,2019-09-02 17:49:59.599,107112297045154154350
5d6d565696c99f0008942173,2019-09-02 17:50:14.743,encode,1.0711229704515416e+25,33965,Agree,33965,2019-09-02 17:50:14.743,107112297045154154350
5d6d566296c99f0008942174,2019-09-02 17:50:26.359,encode,1.0711229704515416e+25,45813,Disagree,33965,2019-09-02 17:50:26.359,107112297045154154350
5d6d566c96c99f0008942175,2019-09-02 17:50:36.100,encode,1.0711229704515416e+25,39058,Disagree,33965,2019-09-02 17:50:36.100,107112297045154154350
5d6d568496c99f0008942176,2019-09-02 17:51:00.164,encode,1.0711229704515416e+25,40242,Disagree,33965,2019-09-02 17:51:00.164,107112297045154154350
5d6d568e96c99f0008942177,2019-09-02 17:51:10.533,encode,1.0711229704515416e+25,10672,Disagree,33965,2019-09-02 17:51:10.533,107112297045154154350
5d6d569596c99f0008942178,2019-09-02 17:51:17.296,encode,1.0711229704515416e+25,40804,Disagree,33965,2019-09-02 17:51:17.296,107112297045154154350
5d6d56a496c99f0008942179,2019-09-02 17:51:32.599,encode,1.0711229704515415e+24,5629,Agree,5629,2019-09-02 17:51:32.599,107112297045154154350
5d6d573296c99f000894217a,2019-09-02 17:53:54.280,encode,1.0711229704515415e+24,6911,Disagree,5629,2019-09-02 17:53:54.280,107112297045154154350
5d6d573b96c99f000894217b,2019-09-02 17:54:03.137,encode,1.0711229704515415e+24,16658,Disagree,5629,2019-09-02 17:54:03.137,107112297045154154350
5d6d574796c99f000894217c,2019-09-02 17:54:15.717,encode,1.0711229704515415e+24,45461,Disagree,5629,2019-09-02 17:54:15.717,107112297045154154350
5d6d576796c99f000894217d,2019-09-02 17:54:47.570,encode,1.0711229704515416e+25,1113,Disagree,36457,2019-09-02 17:54:47.570,107112297045154154350
5d6d577196c99f000894217e,2019-09-02 17:54:57.410,encode,1.0711229704515416e+25,28600,Disagree,36457,2019-09-02 17:54:57.410,107112297045154154350
5d6d577b96c99f000894217f,2019-09-02 17:55:07.034,encode,1.0711229704515416e+25,962,Agree,36457,2019-09-02 17:55:07.034,107112297045154154350
5d6d578696c99f0008942180,2019-09-02 17:55:18.457,encode,1.0711229704515416e+25,40508,Disagree,36457,2019-09-02 17:55:18.457,107112297045154154350
5d6d578b96c99f0008942181,2019-09-02 17:55:23.880,encode,1.0711229704515416e+25,36229,Disagree,36457,2019-09-02 17:55:23.880,107112297045154154350
5d6d579496c99f0008942182,2019-09-02 17:55:32.683,encode,1.0711229704515416e+25,24714,Disagree,36457,2019-09-02 17:55:32.683,107112297045154154350
5d6d579b96c99f0008942183,2019-09-02 17:55:39.199,encode,1.0711229704515416e+25,41399,Disagree,36457,2019-09-02 17:55:39.199,107112297045154154350
5d6d57a196c99f0008942184,2019-09-02 17:55:45.215,encode,1.0711229704515416e+25,19812,Disagree,36457,2019-09-02 17:55:45.215,107112297045154154350
5d6d57a796c99f0008942185,2019-09-02 17:55:51.098,encode,1.0711229704515416e+25,13528,Disagree,36457,2019-09-02 17:55:51.098,107112297045154154350
5d6d57b596c99f0008942186,2019-09-02 17:56:05.629,encode,1.0711229704515416e+25,43809,Agree,43809,2019-09-02 17:56:05.629,107112297045154154350
5d6d57be96c99f0008942187,2019-09-02 17:56:14.474,encode,1.0711229704515416e+25,21606,Agree,43809,2019-09-02 17:56:14.474,107112297045154154350
5d6d57c796c99f0008942188,2019-09-02 17:56:23.278,encode,1.0711229704515416e+25,5455,Agree,43809,2019-09-02 17:56:23.278,107112297045154154350
5d6d57ce96c99f0008942189,2019-09-02 17:56:30.228,encode,1.0711229704515416e+25,28321,Disagree,43809,2019-09-02 17:56:30.228,107112297045154154350
5d6d57d696c99f000894218a,2019-09-02 17:56:38.176,encode,1.0711229704515416e+25,1689,Disagree,43809,2019-09-02 17:56:38.176,107112297045154154350
5d6d57fb96c99f000894218b,2019-09-02 17:57:15.867,encode,1.0711229704515415e+24,25972,Disagree,5629,2019-09-02 17:57:15.867,107112297045154154350
